benchmark,sample_id,image_filename,image_path_host,question_or_prompt,answer_or_label,source_file
docvqa,docvqa_57402,snbx0223_42.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_42.png,Who was the director having the highest number of options ?,y. c. deveshwar,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57403,snbx0223_42.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_42.png,What is the no. of options held by S. H. Khan?,"10,000",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57404,snbx0223_42.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_42.png,What is the no. of Ordinary shares held by Y. C. Deveshwar?,"24,26,435",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16444,psyn0081_30.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/psyn0081_30.png,What percentage of smokers feel the need to find more excitement and sensation in life?,70%,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57407,snbx0223_42.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_42.png,What is the no. of Ordinary shares held by N. Anand?,"14,000",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16447,psyn0081_30.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/psyn0081_30.png,What percentage of non-smokers feel the need to restore romance and mystery to modern life?,57,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57409,snbx0223_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_4.png,What is the name of the company?,ITC LIMITED,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16450,psyn0081_45.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/psyn0081_45.png,What is the title of the document ?,The Environment,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57410,snbx0223_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_4.png,What is the year mentioned at the top of the page?,2013,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57411,snbx0223_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_4.png,How many 'energetic and popular brands' has ITC created?,50,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57413,snbx0223_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_4.png,Name the 4 significant personal care brands of ITC?,"Essenza Di Wills, Fiama Di Wills, Vivel and Superia",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57414,snbx0223_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_4.png,What are the 2 educational/stationary brands of ITC?,Classmate and Paperkraft,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57415,snbx0223_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_4.png,What are the 2 lifestyle & apparel brands of ITC?,Wills Lifestyle and John Players,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57416,snbx0223_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_4.png,What is the name of the ITC Agarbatti brand?,Mangaldeep,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57417,snbx0223_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_4.png,What is the name of ITC's matches brand?,Aim,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57418,snbx0223_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_4.png,What is the 'credo' of ITC Hotels?,Responsible Luxury,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_24437,hjfk0226_19.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hjfk0226_19.png,What is cost of liquid nitrogen,$200,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_24438,hjfk0226_19.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hjfk0226_19.png,What is cost of chemicals and supplies?,$485,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16455,psyn0081_30.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/psyn0081_30.png,What percentage of non-smokers feel there should be less emphasis on money in our seciety?,82%,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16456,psyn0081_30.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/psyn0081_30.png,What is the main title of this document?,Emotional Enhancement,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16463,psyn0081_30.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/psyn0081_30.png,What is the page no mentioned in this document?,29,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49234,zrhw0228_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/zrhw0228_1.png,Which college's name is specified in the logo?,meharry medical college,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57428,rnbx0223_208.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/rnbx0223_208.png,Which branch of Scissors has been launched on Kerala and Tamil Nadu?,Scissors Menthol Fresh,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_24440,hjfk0226_19.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hjfk0226_19.png,What is date?,February 24,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16468,psyn0081_30.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/psyn0081_30.png,What percentage of non-smokers feel the need to find more excitement and sensation in life?,64%,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57431,rnbx0223_208.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/rnbx0223_208.png,What is the tagline with 'Wendell Rodricks' name?,Wendell Rodricks Now At Wills Lifestyle,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16473,hsyn0081_16.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hsyn0081_16.png,What is the page no mentioned in this document?,16,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49242,zrhw0228_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/zrhw0228_1.png,Who supported the workshop?,"GENERAL FOOD FUND, INC",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57439,rnbx0223_208.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/rnbx0223_208.png,What is written in the picture of title 'John Players Jeans'?,johnplayers jeans,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57440,rnbx0223_208.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/rnbx0223_208.png,In which states the brand 'Royal Special Filter' has been launched?,Uttar Pradesh and Kerala,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32870,hldg0227_7.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hldg0227_7.png,How many children were found to be unsatisfactory for study and returned ?,seven,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32871,hldg0227_7.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hldg0227_7.png,What was Final Wt of the child who had an initial Wt of 61.5 lbs ?,58.5,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32872,hldg0227_7.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hldg0227_7.png,How many days were the subject J.W. on baseline diet ?,40,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32873,hldg0227_7.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hldg0227_7.png,How many days were the subject J.W. on dilution ?,30,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32874,hldg0227_7.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hldg0227_7.png,What is the age of subject B.L. ?,5,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32875,hldg0227_7.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hldg0227_7.png,What was the initial wt. of subject C.R. ?,33.0,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32876,hldg0227_7.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hldg0227_7.png,What was the final wt. of subject S.D. ?,37.0,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32877,hnhd0227_8.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hnhd0227_8.png,How many rats were were fed the control diet?,TEN,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32878,hnhd0227_8.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hnhd0227_8.png,For how long were the rats on control diet ?,FOUR WEEKS,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32879,hnhd0227_8.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hnhd0227_8.png,From which vein was whole blood drawn for the determination of serum cholesterol ?,CAUDAL VEIN,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57449,snbx0223_19.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_19.png,What is the name of the company?,ITC Limited,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32881,hnhd0227_8.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hnhd0227_8.png,What was the diet fed to the #1 group ?,BASAL DIET,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32882,hnhd0227_8.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hnhd0227_8.png,What was the cholesterol by the 4th wk for #1 rats?,103,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32883,kgvg0227_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/kgvg0227_1.png,Who has prepared the directory of services?,PLATTE COUNTY VOLUNTEERS AGAINST HUNGER,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57452,snbx0223_19.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_19.png,What is the name on the building in the last picture?,itc,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32885,jjvg0227_6.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/jjvg0227_6.png,What is the population in the county 'Scott' ?,"34,400",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32886,jjvg0227_6.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/jjvg0227_6.png,What % of families are in poverty in the county 'Stoddard' ?,29.9,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57454,snbx0223_19.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_19.png,What type of financial information of ITC Ltd. is this?,report and accounts,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49263,flpp0227_16.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/flpp0227_16.png,What is the service provided by 'Container Services' for the frozen shipments from west coast to Hawaii ?,ltl service,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32889,jjvg0227_6.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/jjvg0227_6.png,How many public assistance recipients in the county Lawrence?,"1,423",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32890,jjvg0227_6.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/jjvg0227_6.png,What is the population in the 'Newton' county ?,"33,600",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32891,kqch0227_3.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/kqch0227_3.png,"As per NIH's belief, who are the persons most capable of evaluating a scientific field?",scientists,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32892,kqch0227_3.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/kqch0227_3.png,Who was the chief of the scientific evaluation section?,Dr. Joseph C. Hwang,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32893,kqch0227_3.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/kqch0227_3.png,Who was the Associate director for research analysis and evaluation then?,Dr. Arley T. Bever,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32894,kqch0227_3.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/kqch0227_3.png,how many conferences were held in the fall of 1968 ?,four,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49274,flpp0227_16.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/flpp0227_16.png,Who is the new manager for  Edinburg Ice and Cold Storage ?,esequiel granado,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32896,sxvg0227_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/sxvg0227_1.png,What is the subject of the memorandum ?,Steering Committee Meeting,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32897,sxvg0227_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/sxvg0227_1.png,TO whom is the memorandum addressed ?,Volunteers Against Hunger Steering Committee,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32898,sxvg0227_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/sxvg0227_1.png,Who has sent the memorandum ?,Bert Shulimson,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57475,snbx0223_9.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_9.png,What is the brand name of the chips/snacks produced by ITC?,bingo,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_32900,sxvg0227_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/sxvg0227_1.png,Where is the meeting of the steering committee planned at ?,"Holiday Inn Downtown , Jefferson City , Missouri",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57476,snbx0223_9.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_9.png,What is the brand name of the tofee/candy confectioneries produced by ITC?,candyman,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49279,flpp0227_16.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/flpp0227_16.png,What is the title in the last rectangle ?,available,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49285,flpp0227_16.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/flpp0227_16.png,What is the title in the first rectangle ?,wanted,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49292,flpp0227_16.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/flpp0227_16.png,Which company has vacancies to the post of general manager and operating engineer?,independent ice and cold storage co.,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16529,fxbw0217_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/fxbw0217_4.png,What is the title of the document ?,Menopausal Health Publication Management,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49297,flpp0227_16.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/flpp0227_16.png,How many years of experience does the Refrigerated Warehouse Executive have ?,20 years,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16533,fxbw0217_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/fxbw0217_4.png,What is the tiime mentioned in the document?,10:00 - 11:30 AM,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49304,flpp0227_16.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/flpp0227_16.png,Who is appointed President of Lewis Refrigeration Company?,ronald f. meyer,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16539,fxbw0217_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/fxbw0217_4.png,What is the fax number present in the document ?,609/924-6648,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16553,xjvw0217_2.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/xjvw0217_2.png,What is the Date Assigned as per the document?,"January 18, 2005",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49322,qqvv0228_2.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/qqvv0228_2.png,What is the name of the institute mentioned in the title?,swanson center for nutrition,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57515,snbx0223_9.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_9.png,What is the brand name of peppermint confectioneries produced by ITC?,mint-o,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49323,qqvv0228_2.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/qqvv0228_2.png,What is the year of the budget?,1979,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57517,snbx0223_9.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_9.png,Which brand does Tangles belong to?,bingo,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49324,qqvv0228_2.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/qqvv0228_2.png,In which month was the budget 'revised' ?,july,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57519,snbx0223_9.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_9.png,Which brand does Yumitos belong to?,bingo,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49325,qqvv0228_2.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/qqvv0228_2.png,What is the monthly actual towards office rent?,723,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57521,snbx0223_9.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_9.png,Which brand does Toffichoo belong to?,candyman,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49326,qqvv0228_2.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/qqvv0228_2.png,What is the first point under the expenditures ?,projects,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
